종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1571","2","0.13","1569","1583","1559","128163","201227237","83355751840","53059040"
"095570","AJ네트웍스","KOSPI",,"4665","25","0.54","4685","4690","4625","90722","422833692","211104120735","45252759"
"006840","AK홀딩스","KOSPI",,"8840","-120","-1.34","8940","8960","8820","4448","39536310","117108439240","13247561"
"054620","APS","KOSDAQ","중견기업부","3945","-40","-1.00","3950","4065","3935","6995","27683505","72565201845","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","20150","960","5.00","19350","20150","19350","91969","1829880895","303274043150","15050821"
"211270","AP위성","KOSDAQ","우량기업부","12150","590","5.10","11920","12360","11850","246552","2983969505","183249993600","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4075","-25","-0.61","4110","4135","4045","62004","252251329","390045923325","95716791"
"282330","BGF리테일","KOSPI",,"110100","-1200","-1.08","112400","112400","109700","10927","1208057450","1902958050600","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3870","-30","-0.77","3890","3950","3800","66907","257782113","242907899130","62766899"
"138930","BNK금융지주","KOSPI",,"16250","280","1.75","16030","16350","15930","729146","11821109210","5109408752500","314425154"
"001460","BYC","KOSPI",,"41900","-1650","-3.79","43550","43550","41800","4728","200150900","261713685000","6246150"
"001465","BYC우","KOSPI",,"25450","-300","-1.17","25500","25650","25250","822","20882350","54815482500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1486","-14","-0.93","1500","1520","1483","83114","124499939","114264754452","76894182"
"001040","CJ","KOSPI",,"173000","500","0.29","174900","175000","172000","30941","5369390400","5047620654000","29176998"
"079160","CJ CGV","KOSPI",,"6050","-50","-0.82","6020","6100","5910","200826","1206184730","1001768050800","165581496"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","64500","800","1.26","63800","66100","61000","24058","1544050050","1414430433000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9820","20","0.20","9760","10200","9760","35975","358805340","128302836840","13065462"
"00104K","CJ4우(전환)","KOSPI",,"153300","-1900","-1.22","155500","155500","152700","2451","377053400","647924289600","4226512"
"000120","CJ대한통운","KOSPI",,"94600","-900","-0.94","97400","97400","94300","25217","2401265350","2158047742400","22812344"
"011150","CJ씨푸드","KOSPI",,"2885","0","0.00","2885","2910","2855","333718","960926631","103660280105","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16120","-490","-2.95","16150","16150","16110","468","7542070","3224000000","200000"
"001045","CJ우","KOSPI",,"87100","100","0.11","87000","87700","86800","1450","126314200","196865423300","2260223"
"097950","CJ제일제당","KOSPI",,"210500","500","0.24","210500","211500","209500","22345","4700148750","3168906153000","15054186"
"097955","CJ제일제당 우","KOSPI",,"137600","500","0.36","137900","137900","137100","4850","666715350","182654780800","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","27700","1000","3.75","26750","27700","26600","14510","396931850","328842932200","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1921","0","0.00","1925","1944","1915","214243","411887575","284004833543","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","625","-1","-0.16","637","637","620","64983","40508737","46319491250","74111186"
"000480","CR홀딩스","KOSPI",,"5080","0","0.00","5080","5100","5070","6755","34298010","238203689200","46890490"
"065770","CS","KOSDAQ","벤처기업부","824","1","0.12","823","834","815","59278","48750051","15994771120","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","553","2","0.36","554","564","550","134061","74453389","34744690827","62829459"
"000590","CS홀딩스","KOSPI",,"81300","500","0.62","80100","81600","80100","586","47535650","93859386600","1154482"
"012030","DB","KOSPI",,"1509","7","0.47","1503","1527","1491","287378","432920131","303571464897","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2100","-5","-0.24","2110","2110","2100","1001","2102165","12264000000","5840000"
"005830","DB손해보험","KOSPI",,"126400","2700","2.18","125100","127600","124200","68502","8665581600","8949120000000","70800000"
"016610","DB증권","KOSPI",,"10720","-50","-0.46","10770","10860","10660","27621","296652240","455025290080","42446389"
